sample	condition	source
TCGA-BJ-A45D-01	THCA	TCGA
TCGA-CE-A3MD-01	THCA	TCGA
TCGA-DJ-A3US-01	THCA	TCGA
TCGA-EM-A1YE-01	THCA	TCGA
TCGA-EL-A4JW-01	THCA	TCGA
TCGA-FE-A230-01	THCA	TCGA
TCGA-FE-A3PD-01	THCA	TCGA
TCGA-GE-A2C6-01	THCA	TCGA
TCGA-BJ-A0Z3-01	THCA	TCGA
TCGA-FK-A4UB-01	THCA	TCGA
TCGA-FE-A233-01	THCA	TCGA
TCGA-DJ-A3V7-01	THCA	TCGA
TCGA-J8-A42S-01	THCA	TCGA
TCGA-FE-A231-01	THCA	TCGA
TCGA-DJ-A3VJ-01	THCA	TCGA
TCGA-ET-A40Q-01	THCA	TCGA
TCGA-DJ-A3V2-01	THCA	TCGA
TCGA-FY-A3TY-01	THCA	TCGA
TCGA-EM-A3FN-01	THCA	TCGA
TCGA-EL-A4K7-01	THCA	TCGA
TCGA-EM-A1CU-01	THCA	TCGA
TCGA-BJ-A45H-01	THCA	TCGA
TCGA-EM-A22P-01	THCA	TCGA
TCGA-DE-A69K-01	THCA	TCGA
TCGA-DE-A69J-01	THCA	TCGA
TCGA-DJ-A1QE-01	THCA	TCGA
TCGA-E8-A432-01	THCA	TCGA
TCGA-FY-A3R6-01	THCA	TCGA
TCGA-E8-A44M-01	THCA	TCGA
TCGA-EL-A4KH-01	THCA	TCGA
TCGA-EM-A2CQ-01	THCA	TCGA
